,Číslo záznamu,Finské id,Typ záznamu,Je součást čeho (číslo záznamu),"typ díla (celé dílo, úryvek, antologie, souborné dílo)",Vztah k originálu (překlad vs. adaptace),Druh adaptace (slovem),Autor/ka + kód autority,Název díla dle titulu v latince,Údaje o odpovědnosti a další informace (z titulní strany),Původní název,Jazyk díla,Výchozí jazyk ,Zprostředkovací jazyk,Údaje o zprostředkovacím díle,"Město vydání, země vydání, nakladatel","Edice, svazek",Údaje o časopiseckém vydání,Počet stran,Rok,ISBN,Další role,Volná poznámka,technická poznámka
13,14,003314654,kniha,,celé dílo ,překlad,,"Bořkovcová, Hanna (jk01012732)",Me kolme pöhköä,[Autorka:] Hanna Knapp ; Suomentanut Kirsti Siraste,My tři cvoci,fin,cze,,,Porvoo (Finsko) : WSOY:n graafiset laitokset,Nuorten toivekirjasto ; 245,,169.0,1977.0,951-0-08348-8,Kirsti Siraste (trl) § Hana Bořkovcová (ill) ,,
14,15,000047224,kniha,,celé dílo ,překlad,,"Černohorská, Milena (jk01021444)",Leoš Janáček,,Leoš Janáček,fin,cze, ger ; eng,,Hämeenlinna (Finsko) : Arvi A. Karisto Oy,,,99.0,1984.0,951-99522-1-7,Riitta Laaksonen (trl) §  Erkki Pullinen (trl) §  Jarmo Sermilä (trl) §  Tarja Svärd-Ylilehto (trl) § Inari Teinilä (trl),vytvořeno  skupinou Janáček-Seuran työryhmä ,
15,16,000451914,kniha,,celé dílo ,překlad,,"Macura, Vladimír (jk01072821)",Kansalainen Monte Christo,,Občan Monte Christo,fin,cze,,,Helsinki (Finsko) : Taifuuni,,,228.0,1995.0,951-581-042-6,Eero Balk (trl),,
16,17,000514403,kniha,,celé dílo ,překlad,,"Kohout, Pavel (jk01061137)",Hirttäjätär : Banaali romaani,,Katyně,fin,cze,,,Helsinki (Finsko) : Kirjayhtymä,,,333.0,1978.0,951-26-1486-3,Kirsti Siraste (trl) ,,
17,18,000407533,kniha,,celé dílo ,překlad,,"Pinková, Alice (jx20040212023)",Linnunradan keittokirja,,Receptář ve znamení zvěrokruhu anebo sezónní kuchařka pro pokročilé,fin,cze,,,Pieksämäki (Finsko) : Taifuuni,,,457.0,1992.0,951-581-004-3,"Eero Balk (trl, aui) ",,
18,19,004343308,kniha,,celé dílo ,překlad,,"Seifert, Jaroslav (jk01110657)",Ruttopylväs,,Morový sloup,fin,cze,,,Porvoo (Finsko) : WSOY:n graafiset laitokset,,,96.0,1985.0,951-0-13077-X,"Hannu Ylilehto (trl, cwt)",,
19,20,003332471,kniha,,celé dílo ,překlad,,"Seifert, Jaroslav (jk01110657)",Laulu omenapuusta,,"Koulelo se, koulelo",fin,cze,,,Helsinki (Finsko) : Lasten Keskus Oy,,,29.0,1985.0,951-626-553-7,Mervi Vyyryläinen-Väänänen § Josef Paleček (ill),,
20,21,00330262,kniha,,celé dílo ,překlad,,"Baránková, Vlasta (jn19981000214)",Ystävyyden laiva,,O ztraceném koťátku,fin,cze,,,Helsinki (Finsko) : Lasten Keskus Oy,,,,1992.0,951-626-986-9,Pirjo Rintakoski (trl) § Vlasta Baránková (ill),,nemá číslované strany
21,22,000520700,kniha,,celé dílo ,překlad,,"Petiška, Eduard (jk01092720)",Kreikkalaisia satuja,,Staré řecké báje a pověsti,fin,cze,ger,Alte griechische Sagen,Helsinki (Finsko) : Weilin+Göös,,,189.0,1973.0,951-35-0904-4,Aarno Peromies (trl) § Zdeněk Sklenář (ill),,
22,23,000522443,kniha,,celé dílo ,překlad,,"Zábranský, Adolf (jk01151856)",Kultainen portti," kansanlauluja, sananlaskuja ja arvoituksia tsekkiläisestä kansanrunoudesta vallinut ja kuvittanut Adolf Zábranský suomeksi sovittanut Eeva-Liisa Manner",Zlatá brána otevřená,fin,cze,,,Helsinki (Finsko) : Kustannusosakeyhtiö Otava,,,,1968.0,,Eeva-Liisa Manner (trl) § Adolf Zábranský (ill),,nemá číslované strany
