,Číslo záznamu,Typ záznamu,Je součást čeho (číslo záznamu),"typ díla (celé dílo, úryvek, antologie, souborné dílo)",Vztah k originálu (překlad vs. adaptace),Druh adaptace (slovem),Autor/ka + kód autority,Název díla dle titulu v latince,Název díla v původním písmu,Údaje o odpovědnosti a další informace (z titulní strany),Původní název,Jazyk díla,Výchozí jazyk ,Zprostředkovací jazyk,Údaje o zprostředkovacím díle,"Město vydání, země vydání, nakladatel",Nakadatel v původním písmu,"Edice, svazek",Název edice v původním písmu,Údaje o časopiseckém vydání,Název časopisu v původním písmu,Počet stran,Rok,ISBN,Další role,Další role v původním písmu,Zdroj či odkaz,Volná poznámka,technická poznámka,Sloupec1,non-fiction
13,14,kniha,nan,antologie,překlad,nan,"Anjelakis, Andreas",Mikro antholojo synchronis pangosmias piisis,Μικρό ανθολόγιο σύγχρονης παγκόσμιας ποίησης,nan,Originál neexistuje,gre,cze,nan,nan,Atény (Řecko): Kastaniotis,Καστανιώτης,nan,nan,nan,nan,71,1971,nan,"Anjelakis, Andreas (trl, aui)","Αγγελάκης, Ανδρέας",https://catalogue.nlg.gr/Record/b.654069,nan,nan,nan,nan
14,15,část knihy,14,celé dílo,překlad,,"Holub, Miroslav (jk01041818)",O Napoleon,Ο Ναπολέων,,Napoleon,,,,,,,,,,,,,,,,,"Achilles a želva, 1960",,nan,nan
15,16,část knihy,14,celé dílo,překlad,nan,"Hrubý, Josef (jk01042960)",Merilyn Monroe,nan,nan,Originál neznámý,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
16,17,kniha,,celé dílo,překlad,,"Kohout, Pavel (jk01061137)",I dimios,Η δήμιος,Μetafrasi apo ta tsechika Sonia Stamu-Dorniakova,Katyně,gre,cze,,,Atény (Řecko): Kastaniotis,Καστανιώτης,Syngrafis ap' olo ton kosmo,Συγγραφείς απ' όλο τον κόσμο,,,488,2008,978-960-03-4763-0,"Stamu-Dorniakova, Sonia (trl)","Στάμου-Ντόρνιακοβα, Σόνια",,1. vydání § Medailon autora,,nan,nan
17,18,kniha,nan,celé dílo,překlad,nan,"Fučík, Julius (jk01032106)",Grammeno me ti thilia sto lemo,Γραμμένο με τη θηλειά στο λαιμό,Metafrasi ap' ta gallika Efi Panselinu,Reportáž psaná na oprátce,gre,cze,fre,nan,Atény (Řecko): Palmos,Πάλμος,nan,nan,nan,nan,108,1954,nan,"Panselinu, Efi (trl, aui) § Fučíková, Gusta (aui)","Πανσελήνου, Έφη § Φούσικοβα, Γκούστα",nan,"Panselinu, Efi : úvodní poznámka § Fučíková, Gusta : úvod",nan,nan,nan
18,19,kniha,,celé dílo,překlad,,"Fuks, Ladislav (jk01032159)",O kyrios Theodoros Mundstok,Ο κύριος Θεόδωρος Μούντστοκ,,Pan Theodor Mundstock,gre,cze,,,Atény (Řecko): Iridanos,Ηριδανός,nan,,,,188,1975,,"Kolibal, Stanislav (ill) § Tsakalis, Andreas (trl)","Kolibal, Stanislav § Τσάκαλης, Αντρέας",,,,nan,nan
19,20,kniha,nan,celé dílo,překlad,nan,"Kohout, Pavel (jk01061137)",Enas thilykos dimios,Ένας θηλυκός δήμιος,nan,Katyně,gre,cze,nan,nan,Atény (Řecko): Odysseas,Οδυσσέας,Vivlia tsepis 075,Βιβλία τσέπης 075,nan,nan,439,1986,nan,"Karaiskaki, Tasula (trl, cwt)","Καραϊσκάκη, Τασούλα",nan,nan,nan,nan,nan
20,21,kniha,,antologie,překlad,,"Aškenazy, Ludvík (jk01010398) § Hrabal, Bohumil (jk01042564) § Kundera, Milan (jk01070894) § Olbracht, Ivan (jk01091013)",Tesseris Tsechi Syngrafis,Τέσσερις Τσέχοι Συγγραφείς,Metafrasi apo ta tsechika Rene Psyruki,Originál neexistuje,gre,cze,,,Atény (Řecko) : Romvos,Ρόμβος,,,,,120,197?,,"Psyruki, Rene (trl)","Ψυρούκη, Ρενέ",,,,nan,nan
21,22,část knihy,21,celé dílo,překlad,nan,"Aškenazy, Ludvík (jk01010398)",To Kotopulaki,Το Κοτοπουλάκι,nan,Kuřátko,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,Ze sbírky Psí život,nan,nan,nan
22,23,část knihy,21,celé dílo,překlad,,"Aškenazy, Ludvík (jk01010398)",O Romeos,Ο Ρώμαιος,,Romeo,,,,,,,,,,,,,,,,,Ze sbírky Vajíčko,,nan,nan
